timestamp,image,ok,msg
20260608_222501,shot_20260608_222501.png,batch,collected
20260608_222505,shot_20260608_222505.png,batch,collected
20260608_222509,shot_20260608_222509.png,batch,collected
20260608_222513,shot_20260608_222513.png,batch,collected
20260608_222517,shot_20260608_222517.png,batch,collected
20260608_222909,shot_20260608_222909.png,batch,collected
20260608_222913,shot_20260608_222913.png,batch,collected
20260608_222917,shot_20260608_222917.png,batch,collected
20260608_222921,shot_20260608_222921.png,batch,collected
20260608_222925,shot_20260608_222925.png,batch,collected
20260608_223806,shot_20260608_223806.png,batch,collected
20260608_223810,shot_20260608_223810.png,batch,collected
20260608_223814,shot_20260608_223814.png,batch,collected
20260608_223817,shot_20260608_223817.png,batch,collected
20260608_223821,shot_20260608_223821.png,batch,collected
20260608_223948,shot_20260608_223948.png,batch,collected
20260608_223952,shot_20260608_223952.png,batch,collected
20260608_223955,shot_20260608_223955.png,batch,collected
20260608_223959,shot_20260608_223959.png,batch,collected
20260608_224003,shot_20260608_224003.png,batch,collected
20260608_224832,shot_20260608_224832.png,batch,collected
20260608_224836,shot_20260608_224836.png,batch,collected
20260608_224840,shot_20260608_224840.png,batch,collected
20260608_224844,shot_20260608_224844.png,batch,collected
20260608_224847,shot_20260608_224847.png,batch,collected
20260608_225040,shot_20260608_225040.png,batch,collected
20260608_225044,shot_20260608_225044.png,batch,collected
20260608_225048,shot_20260608_225048.png,batch,collected
20260608_225052,shot_20260608_225052.png,batch,collected
20260608_225056,shot_20260608_225056.png,batch,collected
20260608_230023,shot_20260608_230023.png,batch,collected
20260608_230027,shot_20260608_230027.png,batch,collected
20260608_230031,shot_20260608_230031.png,batch,collected
20260608_230035,shot_20260608_230035.png,batch,collected
20260608_230039,shot_20260608_230039.png,batch,collected
20260608_230345,shot_20260608_230345.png,batch,collected
20260608_230349,shot_20260608_230349.png,batch,collected
20260608_230353,shot_20260608_230353.png,batch,collected
20260608_230357,shot_20260608_230357.png,batch,collected
20260608_230401,shot_20260608_230401.png,batch,collected
20260608_232017,shot_20260608_232017.png,batch,collected
20260608_232021,shot_20260608_232021.png,batch,collected
20260608_232025,shot_20260608_232025.png,batch,collected
20260608_232029,shot_20260608_232029.png,batch,collected
20260608_232032,shot_20260608_232032.png,batch,collected
20260608_232409,shot_20260608_232409.png,batch,collected
20260608_232413,shot_20260608_232413.png,batch,collected
20260608_232417,shot_20260608_232417.png,batch,collected
20260608_232421,shot_20260608_232421.png,batch,collected
20260608_232425,shot_20260608_232425.png,batch,collected
20260608_234112,shot_20260608_234112.png,batch,collected
20260608_234116,shot_20260608_234116.png,batch,collected
20260608_234120,shot_20260608_234120.png,batch,collected
20260608_234123,shot_20260608_234123.png,batch,collected
20260608_234127,shot_20260608_234127.png,batch,collected
20260608_234237,shot_20260608_234237.png,batch,collected
20260608_234241,shot_20260608_234241.png,batch,collected
20260608_234245,shot_20260608_234245.png,batch,collected
20260608_234249,shot_20260608_234249.png,batch,collected
20260608_234253,shot_20260608_234253.png,batch,collected
20260608_234735,shot_20260608_234735.png,batch,collected
20260608_234739,shot_20260608_234739.png,batch,collected
20260608_234743,shot_20260608_234743.png,batch,collected
20260608_234747,shot_20260608_234747.png,batch,collected
20260608_234751,shot_20260608_234751.png,batch,collected
20260608_235759,shot_20260608_235759.png,batch,collected
20260608_235803,shot_20260608_235803.png,batch,collected
20260608_235807,shot_20260608_235807.png,batch,collected
20260608_235811,shot_20260608_235811.png,batch,collected
20260608_235815,shot_20260608_235815.png,batch,collected
20260609_000155,shot_20260609_000155.png,batch,collected
20260609_000159,shot_20260609_000159.png,batch,collected
20260609_000203,shot_20260609_000203.png,batch,collected
20260609_000207,shot_20260609_000207.png,batch,collected
20260609_000211,shot_20260609_000211.png,batch,collected
20260609_000420,shot_20260609_000420.png,batch,collected
20260609_000424,shot_20260609_000424.png,batch,collected
20260609_000428,shot_20260609_000428.png,batch,collected
20260609_000432,shot_20260609_000432.png,batch,collected
20260609_000436,shot_20260609_000436.png,batch,collected
20260609_001005,shot_20260609_001005.png,batch,collected
20260609_001009,shot_20260609_001009.png,batch,collected
20260609_001013,shot_20260609_001013.png,batch,collected
20260609_001017,shot_20260609_001017.png,batch,collected
20260609_001021,shot_20260609_001021.png,batch,collected
20260609_001529,shot_20260609_001529.png,batch,collected
20260609_001533,shot_20260609_001533.png,batch,collected
20260609_001537,shot_20260609_001537.png,batch,collected
20260609_001541,shot_20260609_001541.png,batch,collected
20260609_001545,shot_20260609_001545.png,batch,collected
20260609_001901,shot_20260609_001901.png,batch,collected
20260609_001905,shot_20260609_001905.png,batch,collected
20260609_001909,shot_20260609_001909.png,batch,collected
20260609_001912,shot_20260609_001912.png,batch,collected
20260609_001916,shot_20260609_001916.png,batch,collected
20260609_002247,shot_20260609_002247.png,batch,collected
20260609_002251,shot_20260609_002251.png,batch,collected
20260609_002255,shot_20260609_002255.png,batch,collected
20260609_002259,shot_20260609_002259.png,batch,collected
20260609_002303,shot_20260609_002303.png,batch,collected
20260609_002509,shot_20260609_002509.png,batch,collected
20260609_002513,shot_20260609_002513.png,batch,collected
20260609_002517,shot_20260609_002517.png,batch,collected
20260609_002521,shot_20260609_002521.png,batch,collected
20260609_002524,shot_20260609_002524.png,batch,collected
20260609_002825,shot_20260609_002825.png,batch,collected
20260609_002829,shot_20260609_002829.png,batch,collected
20260609_002833,shot_20260609_002833.png,batch,collected
20260609_002836,shot_20260609_002836.png,batch,collected
20260609_002840,shot_20260609_002840.png,batch,collected
20260609_002959,shot_20260609_002959.png,batch,collected
20260609_003003,shot_20260609_003003.png,batch,collected
20260609_003007,shot_20260609_003007.png,batch,collected
20260609_003010,shot_20260609_003010.png,batch,collected
20260609_003014,shot_20260609_003014.png,batch,collected
